# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 87dab8c29948a1a2e11cacc88f49d182bbd2e933
# git_state: dirty
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
rescue_prime,,koalabear,16,single,8,8192,1,236136096
rescue_prime,,koalabear,24,single,8,8192,1,380684294
rescue_prime,,babybear,16,single,8,8192,1,236683789
rescue_prime,,babybear,24,single,8,8192,1,383514273
anemoi,,bls12_381,4,current,20,1024,1,287678630
anemoi,,bls12_381,4,original,14,1024,1,202321305
anemoi,,bn254,4,current,20,1024,1,281705579
anemoi,,bn254,4,original,14,2048,1,394326655
anemoi,,goldilocks,8,single,11,32768,1,346145601
anemoi,,goldilocks,12,single,10,16384,1,238451101
anemoi,,mersenne31,16,single,10,32768,1,340834037
anemoi,,mersenne31,24,single,9,16384,1,238903005
anemoi,,koalabear,16,single,10,16384,1,259755657
anemoi,,koalabear,24,single,9,16384,1,362200509
anemoi,,babybear,16,single,9,16384,1,234909223
anemoi,,babybear,24,single,9,16384,1,363022605
griffin,,bls12_381,3,current,20,2048,1,286308599
griffin,,bls12_381,3,original,14,2048,1,200604607
griffin,,bls12_381,4,current,20,2048,1,288456143
griffin,,bls12_381,4,original,11,4096,1,319488254
griffin,,bn254,3,current,20,2048,1,281555609
griffin,,bn254,3,original,14,4096,1,394256223
griffin,,bn254,4,current,20,2048,1,283423730
griffin,,bn254,4,original,11,4096,1,312263385
griffin,,goldilocks,8,single,8,131072,1,281495496
griffin,,goldilocks,12,single,8,131072,1,300604160
arion,,bls12_381,3,single,11,4096,1,340563091
arion,,bls12_381,4,single,10,4096,1,328321608
arion,,bn254,3,single,11,4096,1,331197973
arion,,bn254,4,single,10,4096,1,319045446
grendel,native,bls12_381,3,single,24,256,1,268388377
grendel,native,bn254,3,single,24,256,1,266436850
xhash,XHash8,goldilocks,12,single,6,32768,1,282709075
xhash,XHash12,goldilocks,12,single,6,32768,1,369780432
xhash,XHash16,mersenne31,24,single,6,32768,1,300556952
xhash,XHash24,mersenne31,24,single,6,32768,1,362968944
reinforced_concrete,,bls12_381,3,single,7,131072,1,239798769
reinforced_concrete,,bn254,3,single,7,131072,1,241474800
skyscraper,,bls12_381,4,single,18,262144,1,286204505
skyscraper,,bn254,4,single,18,262144,1,278393701
monolith,,goldilocks,8,single,6,1048576,1,264736433
monolith,,goldilocks,12,single,6,524288,1,202993782
monolith,,mersenne31,16,single,6,524288,1,213028361
monolith,,mersenne31,24,single,6,262144,1,217159769
polocolo,,bls12_381,3,single,6,1024,1,262106149
polocolo,,bls12_381,4,single,5,1024,1,290036024
polocolo,,bn254,3,single,6,1024,1,234216458
polocolo,,bn254,4,single,5,1024,1,261051328
tip4p,,goldilocks,12,single,5,262144,1,330648977
plain,sha256_compress,-,-,single,-,8388608,1,211020789
plain,keccak_f1600,-,-,single,-,524288,1,202836708
plain,blake2b_compress,-,-,single,-,2097152,1,241313409
plain,blake3_compress,-,-,single,-,4194304,1,269289460
gmimc,,bls12_381,3,single,228,16384,2,258815220
gmimc,,bls12_381,4,single,231,16384,2,263653671
gmimc,,bn254,3,single,228,16384,2,249862642
gmimc,,bn254,4,single,231,16384,2,252880422
gmimc,,goldilocks,8,single,68,524288,2,335791656
gmimc,,goldilocks,12,single,93,262144,2,235744954
gmimc,,mersenne31,16,single,158,262144,2,266793247
gmimc,,mersenne31,24,single,335,131072,2,315763133
gmimc,,koalabear,16,single,158,262144,2,304867015
gmimc,,koalabear,24,single,335,131072,2,332079369
gmimc,,babybear,16,single,158,131072,2,245550225
gmimc,,babybear,24,single,335,65536,2,259041603
gmimc2,alpha=8,bls12_381,3,single,63,32768,2,212289319
gmimc2,alpha=8,bls12_381,4,single,64,32768,2,217398846
gmimc2,alpha=8,bn254,3,single,63,32768,2,209568846
gmimc2,alpha=8,bn254,4,single,64,32768,2,213142834
gmimc2,alpha=4,goldilocks,8,single,88,262144,2,293100069
gmimc2,alpha=4,goldilocks,12,single,96,262144,2,362918290
gmimc2,alpha=2,mersenne31,16,single,176,65536,2,201488339
gmimc2,alpha=2,mersenne31,24,single,264,32768,2,224488923
gmimc2,alpha=2,koalabear,16,single,176,131072,2,289972766
gmimc2,alpha=2,koalabear,24,single,264,65536,2,234382349
gmimc2,alpha=2,babybear,16,single,176,131072,2,290022238
gmimc2,alpha=2,babybear,24,single,264,65536,2,235353653
poseidon,,bls12_381,3,single,8+56,16384,2,254079722
poseidon,,bls12_381,4,single,8+56,16384,2,374709942
poseidon,,bn254,3,single,8+56,16384,2,245528925
poseidon,,bn254,4,single,8+56,16384,2,366194221
poseidon,,goldilocks,8,single,8+22,131072,2,333519149
poseidon,,goldilocks,12,single,8+22,65536,2,318865991
poseidon,,mersenne31,16,single,8+14,65536,2,319461343
poseidon,,mersenne31,24,single,8+22,16384,2,226721615
poseidon,,koalabear,16,single,8+20,32768,2,250901513
poseidon,,koalabear,24,single,8+23,16384,2,299001436
poseidon,,babybear,16,single,8+13,65536,2,400536948
poseidon,,babybear,24,single,8+21,16384,2,286659665
poseidon2,,bls12_381,3,single,8+56,65536,2,315448185
poseidon2,,bls12_381,4,single,8+56,32768,2,283496075
poseidon2,,bn254,3,single,8+56,65536,2,308487770
poseidon2,,bn254,4,single,8+56,32768,2,273240512
poseidon2,,goldilocks,8,single,8+22,524288,2,390487832
poseidon2,,goldilocks,12,single,8+22,262144,2,267716041
poseidon2,,mersenne31,16,single,8+14,262144,2,250497378
poseidon2,,mersenne31,24,single,8+22,131072,2,209462137
poseidon2,,koalabear,16,single,8+20,262144,2,283705746
poseidon2,,koalabear,24,single,8+23,131072,2,206367195
poseidon2,,babybear,16,single,8+13,262144,2,305741438
poseidon2,,babybear,24,single,8+21,131072,2,247544231
