# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 034f65a85002594e7ad8ca6dd70ecf52e1169ff2
# git_state: clean
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
poseidon,,mersenne31,24,single,8+22,16384,2,227830573
poseidon,,koalabear,16,single,8+20,32768,2,254135068
poseidon,,koalabear,24,single,8+23,16384,2,304657340
poseidon,,babybear,16,single,8+13,32768,2,201780252
poseidon,,babybear,24,single,8+21,16384,2,288632020
poseidon2,,bls12_381,3,single,8+56,65536,2,317221524
poseidon2,,bls12_381,4,single,8+56,32768,2,286354484
poseidon2,,bn254,3,single,8+56,65536,2,311266368
poseidon2,,bn254,4,single,8+56,32768,2,274483415
poseidon2,,goldilocks,8,single,8+22,524288,2,391791505
poseidon2,,goldilocks,12,single,8+22,262144,2,273000815
poseidon2,,mersenne31,16,single,8+14,262144,2,254043326
poseidon2,,mersenne31,24,single,8+22,131072,2,210824891
poseidon2,,koalabear,16,single,8+20,262144,2,279098518
poseidon2,,koalabear,24,single,8+23,131072,2,202522067
poseidon2,,babybear,16,single,8+13,262144,2,307092009
poseidon2,,babybear,24,single,8+21,131072,2,248520247
neptune,,bls12_381,4,single,6+69,32768,2,325156289
neptune,,bn254,4,single,6+69,32768,2,314019972
neptune,,goldilocks,8,single,6+38,262144,2,319345573
neptune,,goldilocks,12,single,6+42,131072,2,304263775
psquarehash,,mersenne31,16,single,52,262144,2,244365976
psquarehash,,mersenne31,24,single,52,262144,2,355839405
psquarehash,,koalabear,16,single,52,262144,2,312762112
psquarehash,,koalabear,24,single,52,131072,2,233479647
psquarehash,,babybear,16,single,52,262144,2,311492571
psquarehash,,babybear,24,single,52,131072,2,233033613
rescue_prime,,bls12_381,3,current,16,1024,2,344859421
rescue_prime,,bls12_381,3,original,14,1024,2,301902854
rescue_prime,,bls12_381,4,current,13,1024,2,375327905
rescue_prime,,bls12_381,4,original,11,1024,2,317554957
rescue_prime,,bn254,3,current,16,1024,2,338099782
rescue_prime,,bn254,3,original,14,1024,2,295820089
rescue_prime,,bn254,4,current,13,1024,2,367712047
rescue_prime,,bn254,4,original,11,1024,2,311146353
rescue_prime,,goldilocks,8,single,8,16384,2,252824329
rescue_prime,,goldilocks,12,single,8,16384,2,396629364
rescue_prime,,mersenne31,16,single,8,16384,2,330408381
rescue_prime,,mersenne31,24,single,8,8192,2,265435281
rescue_prime,,koalabear,16,single,8,8192,2,224722536
rescue_prime,,koalabear,24,single,8,8192,2,365202007
rescue_prime,,babybear,16,single,8,8192,2,245092944
rescue_prime,,babybear,24,single,8,8192,2,393534752
anemoi,,bls12_381,4,current,20,1024,2,288229307
anemoi,,bls12_381,4,original,14,1024,2,201772267
anemoi,,bn254,4,current,20,1024,2,283445599
anemoi,,bn254,4,original,14,2048,2,398279157
anemoi,,goldilocks,8,single,11,32768,2,346961248
anemoi,,goldilocks,12,single,10,16384,2,238335038
anemoi,,mersenne31,16,single,10,32768,2,343097869
anemoi,,mersenne31,24,single,9,16384,2,240154187
anemoi,,koalabear,16,single,10,16384,2,246869673
anemoi,,koalabear,24,single,9,16384,2,344979235
anemoi,,babybear,16,single,9,16384,2,241501074
anemoi,,babybear,24,single,9,16384,2,374253619
griffin,,bls12_381,3,current,20,2048,2,285640951
griffin,,bls12_381,3,original,14,4096,2,400334126
griffin,,bls12_381,4,current,20,2048,2,288688285
griffin,,bls12_381,4,original,11,4096,2,316721200
griffin,,bn254,3,current,20,2048,2,280789607
griffin,,bn254,3,original,14,4096,2,392965670
griffin,,bn254,4,current,20,2048,2,282597786
griffin,,bn254,4,original,11,4096,2,311350556
griffin,,goldilocks,8,single,8,131072,2,283459346
griffin,,goldilocks,12,single,8,131072,2,301671873
arion,,bls12_381,3,single,11,4096,2,342763335
arion,,bls12_381,4,single,10,4096,2,330848944
arion,,bn254,3,single,11,4096,2,333203835
arion,,bn254,4,single,10,4096,2,320850424
grendel,native,bls12_381,3,current,24,256,2,265293465
grendel,native,bls12_381,3,original,14,512,2,297908832
grendel,native,bls12_381,4,current,23,256,2,340570268
grendel,native,bls12_381,4,original,12,512,2,339942054
grendel,native,bn254,3,current,24,256,2,262791942
grendel,native,bn254,3,original,14,512,2,293536453
grendel,native,bn254,4,current,23,256,2,337267917
grendel,native,bn254,4,original,12,512,2,337153554
xhash,XHash8,goldilocks,12,single,6,32768,2,283951695
xhash,XHash12,goldilocks,12,single,6,32768,2,371156383
xhash,XHash16,mersenne31,24,single,6,32768,2,302019643
xhash,XHash24,mersenne31,24,single,6,32768,2,364837327
reinforced_concrete,,bls12_381,3,single,7,131072,2,242792006
reinforced_concrete,,bn254,3,single,7,131072,2,243436500
skyscraper,,bls12_381,4,single,18,262144,2,325758814
skyscraper,,bn254,4,single,18,262144,2,317238967
monolith,,goldilocks,8,single,6,1048576,2,266401235
monolith,,goldilocks,12,single,6,524288,2,206950582
monolith,,mersenne31,16,single,6,524288,2,215351267
monolith,,mersenne31,24,single,6,262144,2,218569950
polocolo,,bls12_381,3,single,6,1024,2,263730666
polocolo,,bls12_381,4,single,5,1024,2,293339094
polocolo,,bn254,3,single,6,1024,2,237216498
polocolo,,bn254,4,single,5,1024,2,264304538
tip4p,,goldilocks,12,single,5,262144,2,332760757
plain,sha256_compress,-,-,single,-,8388608,2,211725222
plain,keccak_f1600,-,-,single,-,524288,2,203523989
plain,blake2b_compress,-,-,single,-,2097152,2,240146332
plain,blake3_compress,-,-,single,-,4194304,2,273302419
gmimc,,bls12_381,3,single,228,16384,3,261424417
gmimc,,bls12_381,4,single,231,16384,3,269255858
gmimc,,bn254,3,single,228,16384,3,250484187
gmimc,,bn254,4,single,231,16384,3,257236322
gmimc,,goldilocks,8,single,68,524288,3,337558029
gmimc,,goldilocks,12,single,93,262144,3,235430782
gmimc,,mersenne31,16,single,158,262144,3,268890446
gmimc,,mersenne31,24,single,335,131072,3,322792623
gmimc,,koalabear,16,single,158,262144,3,305841853
gmimc,,koalabear,24,single,335,131072,3,345644658
gmimc,,babybear,16,single,158,131072,3,246778273
gmimc,,babybear,24,single,335,65536,3,259898727
gmimc2,alpha=8,bls12_381,3,single,63,32768,3,225447320
gmimc2,alpha=8,bls12_381,4,single,64,32768,3,232010262
gmimc2,alpha=8,bn254,3,single,63,32768,3,220522709
gmimc2,alpha=8,bn254,4,single,64,32768,3,224810019
gmimc2,alpha=4,goldilocks,8,single,88,262144,3,294054771
gmimc2,alpha=4,goldilocks,12,single,96,262144,3,361147643
gmimc2,alpha=2,mersenne31,16,single,176,65536,3,202125558
gmimc2,alpha=2,mersenne31,24,single,264,32768,3,224713119
gmimc2,alpha=2,koalabear,16,single,176,131072,3,291209856
gmimc2,alpha=2,koalabear,24,single,264,65536,3,233729534
gmimc2,alpha=2,babybear,16,single,176,131072,3,291912760
gmimc2,alpha=2,babybear,24,single,264,65536,3,235578668
poseidon,,bls12_381,3,single,8+56,16384,3,256245390
poseidon,,bls12_381,4,single,8+56,16384,3,382316163
poseidon,,bn254,3,single,8+56,16384,3,245973099
poseidon,,bn254,4,single,8+56,16384,3,369903201
poseidon,,goldilocks,8,single,8+22,131072,3,324199812
poseidon,,goldilocks,12,single,8+22,65536,3,309742291
poseidon,,mersenne31,16,single,8+14,65536,3,324604268
poseidon,,mersenne31,24,single,8+22,16384,3,227432489
poseidon,,koalabear,16,single,8+20,32768,3,253717357
poseidon,,koalabear,24,single,8+23,16384,3,303813764
poseidon,,babybear,16,single,8+13,32768,3,202654496
poseidon,,babybear,24,single,8+21,16384,3,288470458
poseidon2,,bls12_381,3,single,8+56,65536,3,317594612
poseidon2,,bls12_381,4,single,8+56,32768,3,286760043
poseidon2,,bn254,3,single,8+56,65536,3,311662368
poseidon2,,bn254,4,single,8+56,32768,3,274543397
poseidon2,,goldilocks,8,single,8+22,524288,3,391854634
poseidon2,,goldilocks,12,single,8+22,262144,3,272838943
poseidon2,,mersenne31,16,single,8+14,262144,3,253515440
poseidon2,,mersenne31,24,single,8+22,131072,3,211096037
poseidon2,,koalabear,16,single,8+20,262144,3,280435877
poseidon2,,koalabear,24,single,8+23,131072,3,204473323
poseidon2,,babybear,16,single,8+13,262144,3,307564943
poseidon2,,babybear,24,single,8+21,131072,3,248755948
neptune,,bls12_381,4,single,6+69,32768,3,324979078
neptune,,bn254,4,single,6+69,32768,3,315795871
neptune,,goldilocks,8,single,6+38,262144,3,318957598
neptune,,goldilocks,12,single,6+42,131072,3,304875729
psquarehash,,mersenne31,16,single,52,262144,3,244560891
psquarehash,,mersenne31,24,single,52,262144,3,356182907
psquarehash,,koalabear,16,single,52,262144,3,311445052
psquarehash,,koalabear,24,single,52,131072,3,231863658
psquarehash,,babybear,16,single,52,262144,3,312093895
psquarehash,,babybear,24,single,52,131072,3,233199785
rescue_prime,,bls12_381,3,current,16,1024,3,345412715
rescue_prime,,bls12_381,3,original,14,1024,3,301812436
rescue_prime,,bls12_381,4,current,13,1024,3,375837689
rescue_prime,,bls12_381,4,original,11,1024,3,318170507
rescue_prime,,bn254,3,current,16,1024,3,338070978
rescue_prime,,bn254,3,original,14,1024,3,295822745
rescue_prime,,bn254,4,current,13,1024,3,366375811
rescue_prime,,bn254,4,original,11,1024,3,310001526
rescue_prime,,goldilocks,8,single,8,16384,3,252816325
rescue_prime,,goldilocks,12,single,8,16384,3,394042231
rescue_prime,,mersenne31,16,single,8,16384,3,328948365
rescue_prime,,mersenne31,24,single,8,8192,3,265555756
rescue_prime,,koalabear,16,single,8,8192,3,224071780
rescue_prime,,koalabear,24,single,8,8192,3,364241714
rescue_prime,,babybear,16,single,8,8192,3,245129112
